date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:02:14	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:13%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/oCl/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/oCl/index.html	(from https://www.sitepoint.com/f5827caf6186e5c689d2efec58e563be7dc9b201-bbb63ee514945e8d2aa4.js)
10:02:15	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:14%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/UNi/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/UNi/index.html	(from https://www.sitepoint.com/f5827caf6186e5c689d2efec58e563be7dc9b201-bbb63ee514945e8d2aa4.js)
10:02:17	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:16%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/otv/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/otv/index.html	(from https://www.sitepoint.com/f5827caf6186e5c689d2efec58e563be7dc9b201-bbb63ee514945e8d2aa4.js)
10:02:18	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:12%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/HAE/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/HAE/index.html	(from https://www.sitepoint.com/f5827caf6186e5c689d2efec58e563be7dc9b201-bbb63ee514945e8d2aa4.js)
10:02:18	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:18%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/$&/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/$&/index.html	(from https://www.sitepoint.com/framework-e70cdacaba893b4d7727.js)
10:02:19	111661/111661	---MC-	200	added ('OK')	text/javascript	date:Fri,%2012%20Jun%202020%2004:32:18%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.sitepoint.com/component---src-templates-post-post-js-b671dd100a5d42351d71.js)
10:02:19	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:19%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/k4T/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/k4T/index.html	(from https://www.sitepoint.com/component---src-templates-post-post-js-b671dd100a5d42351d71.js)
10:02:20	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:19%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/85O/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/85O/index.html	(from https://www.sitepoint.com/component---src-templates-post-post-js-b671dd100a5d42351d71.js)
10:02:20	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:19%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/o	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/o.22.delayed	(from https://www.sitepoint.com/app-532a94bd20cb22242f40.js)
10:02:21	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:20%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/9Xx/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/9Xx/index.html	(from https://www.sitepoint.com/app-532a94bd20cb22242f40.js)
10:02:22	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:21%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/RjD/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/RjD/index.html	(from https://www.sitepoint.com/app-532a94bd20cb22242f40.js)
10:02:22	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:22%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/S/j/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/S/j/index.html	(from https://www.sitepoint.com/app-532a94bd20cb22242f40.js)
10:02:22	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:22%20GMT	https://www.sitepoint.com/sw.js	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/sw.23.delayed	(from https://www.sitepoint.com/app-532a94bd20cb22242f40.js)
10:02:24	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:23%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/8+s/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/8+s/index.html	(from https://www.sitepoint.com/app-532a94bd20cb22242f40.js)
10:02:24	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:23%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/hFT/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/hFT/index.html	(from https://www.sitepoint.com/app-532a94bd20cb22242f40.js)
10:02:24	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:23%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/GET	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/GET.24.delayed	(from https://www.sitepoint.com/app-532a94bd20cb22242f40.js)
10:02:24	50896/50896	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2004:32:23%20GMT	https://www.sitepoint.com/SS/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/SS/index.html	(from https://www.sitepoint.com/app-532a94bd20cb22242f40.js)
